Vendedor_Responsavel,total_vendas,total_comissao,carros_vendidos
AARON ACOSTA,28076.0,3771.29,1
AARON ADAMS,71679.0,7005.48,2
AARON AGUILAR,34138.0,3705.51,2
AARON ALEXANDER,51646.0,3559.94,2
AARON ALLEN,23230.0,1432.18,1
AARON ALVAREZ,25120.0,1475.04,1
AARON ANDERSON,76810.0,4830.3,2
AARON ARMSTRONG,13754.0,901.18,1
AARON ARNOLD,32986.0,4602.79,1
AARON AVILA,48327.0,3708.68,1
AARON AYALA,47256.0,6284.87,1
AARON BAIRD,39393.0,3347.89,1
AARON BAKER,42481.0,2246.28,1
AARON BALL,35851.0,2555.07,1
AARON BALLARD,42312.0,5026.41,1
AARON BARKER,21140.0,1642.73,1
AARON BARNETT,20774.0,1701.15,1
AARON BAUER,32049.0,2114.91,1
AARON BECKER,70878.0,3742.6,2
AARON BELL,89769.0,8893.220000000001,4
AARON BENTON,32002.0,1794.89,1
AARON BISHOP,66833.0,4807.46,2
AARON BLACK,28625.0,2579.2,1
AARON BLACKBURN,44101.0,6339.67,1
AARON BLEVINS,14276.0,717.34,1
AARON BOWERS,20175.0,1529.99,1
AARON BOYD,28882.0,1956.2,1
AARON BRADFORD,21713.0,2759.52,1
AARON BRANDT,38514.0,3995.150000000001,2
AARON BRIGGS,34223.0,2507.52,1
AARON BROOKS,36981.0,5087.6,1
AARON BROWN,62642.0,4964.98,2
AARON BROWNING,30328.0,4480.33,1
AARON BRUCE,48592.0,5472.04,1
AARON BRYAN,16561.0,1948.78,1
AARON BUCK,40069.0,4738.98,1
AARON BULLOCK,20744.0,1550.76,1
AARON BURGESS,42566.0,6331.96,1
AARON BURKE,14707.0,1879.0,1
AARON BURNS,38694.0,2756.33,1
AARON BURTON,36332.0,3385.48,1
AARON CABRERA,47985.0,3160.03,1
AARON CAMPBELL,15690.0,1679.06,1
AARON CANTRELL,34144.0,3476.95,1
AARON CARROLL,12720.0,1801.27,1
AARON CARSON,37198.0,2620.6,1
AARON CARTER,116093.0,10140.9,4
AARON CASTILLO,90148.0,11364.96,3
AARON CASTRO,19998.0,1858.17,1
AARON CERVANTES,22397.0,1589.21,1
AARON CHAPMAN,41189.0,4979.42,1
AARON CHAVEZ,24683.0,2733.95,1
AARON CLARK,73373.0,8281.49,2
AARON COLE,70594.0,7268.37,2
